farm_id,crop_type,farm_area_acres,irrigation_type,fertilizer_used_tons,pesticide_used_kg,yield_tons,soil_type,season,water_usage_cubic_meters
F001,Cotton,0.5393280253499214,Sprinkler,1.1956865720135146,-0.1320081506942068,-0.9551564553596843,Loamy,Kharif,0.73816939641741
F002,Carrot,-1.7120684365460537,Manual,-0.05005130830724993,1.3776595301171994,1.1997586172352668,Peaty,Kharif,0.44463932154813085
F003,Sugarcane,0.37000052136089895,Flood,-0.7376099010065439,-1.2905903243401695,0.4829674076295701,Silty,Kharif,0.6970578616200128
F004,Tomato,0.9074722477582324,Rain-fed,-0.5860512864868072,1.3706378199738902,0.5314094745934187,Silty,Zaid,-0.419513180335614
F005,Tomato,-0.8651410963117004,Sprinkler,1.2659210519129047,1.461920051836906,1.2277641871987421,Clay,Zaid,1.3706214021522616
F006,Sugarcane,-1.7567732161614693,Sprinkler,0.5598797013453499,-0.1039213101209713,0.8417414660805738,Loamy,Zaid,-0.37924970710008593
F007,Soybean,0.7614752770531064,Drip,-1.1368374709609728,-0.01966078840126484,1.3526538910899142,Sandy,Rabi,-0.5980047602462415
F008,Rice,1.5189206029843176,Drip,0.10150730621248702,-1.044830469324359,-1.7279588048923311,Silty,Kharif,-1.7536207195278346
F009,Maize,0.9738410939944092,Drip,-1.6026029692411399,1.7778970082858043,-1.755964374855806,Peaty,Rabi,0.12885216923554757
F010,Soybean,-0.5114878883654366,Drip,-1.0074581658831485,0.190990515898001,-0.7424655050965366,Sandy,Kharif,1.2670111758425455
F011,Rice,0.1810376927758026,Drip,1.151327953129689,-0.8131140345951667,0.43830987714727243,Clay,Zaid,-1.8841321699291858
F012,Sugarcane,-0.7944249457369098,Flood,-0.7006443852700228,-0.08987788983435356,-1.4365494958129295,Clay,Kharif,1.1949263135780201
F013,Wheat,0.5371543731806147,Drip,0.131079718801704,-1.1010041504708301,-1.6363730220388049,Clay,Zaid,-0.4002059788886408
F014,Rice,-0.06480236757282928,Flood,-1.4399547000004467,0.7386839070760927,-1.1867700880305851,Sandy,Rabi,0.564220077209498
F015,Sugarcane,0.3636244749975982,Rain-fed,0.1791348892591815,-0.17413841155406,0.12949170025273765,Peaty,Kharif,-0.8561578118317145
F016,Barley,-1.4110176110970214,Flood,-1.0037616143094965,-1.4380462373496556,-0.834808195246373,Sandy,Zaid,-1.1704589113157016
F017,Carrot,0.21045445213375857,Manual,0.3639624679417875,-1.1150475707574479,1.5623172121678215,Loamy,Zaid,1.16991609263701
F018,Maize,-0.9182506643151037,Rain-fed,0.0017004137238799519,-1.1431344113306834,-0.7863661282825243,Loamy,Rabi,-1.4102595253882055
F019,Maize,1.4923295914464607,Drip,-1.4103822874112297,-0.7639620635920046,0.9764709648237777,Sandy,Zaid,-0.0892897157651761
F020,Barley,-1.4209439560035237,Sprinkler,-0.4788512908508957,0.6474016752130771,-0.6213603376869151,Sandy,Kharif,1.3247986612296012
F021,Cotton,0.884576444908198,Drip,0.38614177738370037,-1.044830469324359,0.15976799210514317,Clay,Rabi,-1.1107696784419383
F022,Wheat,-1.1759009014503043,Flood,0.7557969347489123,0.872096399798961,0.27557480844059346,Clay,Rabi,-0.5131330265597905
F023,Potato,-1.7338049582391244,Drip,1.8647624068445479,0.4156852404838849,-0.675857663021245,Loamy,Zaid,-0.5506077888402339
F024,Rice,1.6586139823984531,Drip,0.5192176340351765,-0.07583446954773582,0.560171951853204,Clay,Zaid,0.17260495823764757
F025,Barley,-1.2992918895946368,Flood,0.6596865938339573,0.8229444287957988,-1.5833895112970955,Silty,Zaid,-0.4770661428005801
F026,Wheat,-0.6715411430987488,Flood,0.34917626164717896,0.015447762315279362,-0.18386792041965785,Loamy,Rabi,0.33767241644831714
F027,Cotton,0.870447705807702,Rain-fed,-1.6284788302567048,1.6585279358495537,-0.34433226723740606,Clay,Kharif,-0.6432469365260669
F028,Tomato,0.00888444096668102,Flood,0.8925693429740408,-0.14605157098082452,1.5865382456497459,Silty,Rabi,0.9109990817065939
F029,Wheat,0.24313168974567512,Manual,-1.1516236772555812,1.6725713561361717,0.7448573321528765,Silty,Zaid,-1.2417583255631177
